x,z
0,5.3308
3.832578897,4.36
4.591701754,3.933
5.632298288,3.531
6.600320371,3.337
7.334901363,2.993
7.625340976,2.995
8.596492599,2.693
9.58167214,2.689
10.59922158,2.659
11.61141856,2.63
12.59273259,2.549
13.55116534,2.612
13.7644791,2.361
14.60291978,2.359
15.60024131,2.45
16.51960411,2.528
17.59791948,2.552
18.59439233,2.592
19.58657116,2.693
20.61472081,2.611
21.56921899,2.611
22.58632033,2.65
23.61959739,2.679
23.6298036,2.797
24.58449467,2.759
25.58720667,2.728
27.59331559,2.541
28.5788226,2.677
29.6172537,2.539
30.58201434,2.608
31.57099778,2.69
32.5521272,2.986
32.94713986,3.031
33.57144062,3.157
34.57724064,3.431
35.62210381,3.705
36.550023,3.938
37.55400225,4.254
38.54200005,4.446
39.51803827,4.801
40.41400001,5.134
