station,stage
0,352.996
0.986523257,352.566
2.565901427,352.095
3.74393875,351.706
4.564510419,351.271
5.578987772,350.949
6.282492555,350.565
6.92061963,350.221
8.188817851,349.979
8.751997525,349.627
10.37749115,349.5
11.69743903,349.488
13.16384741,349.445
14.49594414,349.321
15.77585052,349.173
17.27313588,348.938
18.63848648,348.69
19.70787928,348.387
20.91961117,348.119
22.18725381,347.864
23.53089965,347.61
24.61762523,347.43
25.9314214,347.361
27.54742822,347.424
28.86782192,347.421
30.46647773,347.353
31.76854238,347.269
33.1833176,347.336
34.69855788,347.448
36.20511753,347.423
37.54017778,347.353
38.80498908,347.252
40.40844796,347.204
41.89379794,347.142
43.52214019,347.092
45.44466821,347.063
47.16342451,347.097
48.31950136,347.127
49.76117326,347.35
51.12688517,347.504
51.65752721,348.059
53.17486883,348.404
54.77795967,348.576
56.29009305,348.961
57.73888254,349
59.8685753,349.109
61.6159613,349.523
63.48428499,349.888
66.42841243,350.1
69.28417787,350.238
71.97456459,350.308
74.69205091,350.472
80.35414666,351.135
82.71854254,351.495
85.85491148,352.078
88.4934551,352.786
90.4334196,353.196
92.2404774,353.583
93.95973999,354.68
95.37937878,355.28
97.15173293,355.421
98.55197823,355.46
